CODE,Date,Hour,TMP,WSP,WDR
KBED,5/8/2016,4,48,3,220
KBED,5/8/2016,5,49,5,200
KBED,5/8/2016,6,49,7,180
KBED,5/8/2016,7,50,6,170
KBED,5/8/2016,8,54,10,210
KBED,5/8/2016,9,57,9,190
KBED,5/8/2016,10,57,18,210
KBED,5/8/2016,11,56,9,210
KBED,5/8/2016,12,54,8,210
KBED,5/8/2016,13,55,12,210
KBED,5/8/2016,14,56,12,230
KBED,5/8/2016,15,59,14,260
KBED,5/8/2016,16,62,17,320
KBED,5/8/2016,17,63,15,280
KBED,5/8/2016,18,61,26,310
KBED,5/8/2016,19,56,14,310
KBED,5/8/2016,20,54,15,290
KBED,5/8/2016,21,53,14,290
KBED,5/8/2016,22,50,6,250
KBED,5/8/2016,23,48,5,240
KORH,5/8/2016,0,49,5,110
KORH,5/8/2016,1,48,3,160
KORH,5/8/2016,2,48,3,160
KORH,5/8/2016,3,48,7,190
KORH,5/8/2016,4,48,9,210
KORH,5/8/2016,5,48,8,220
KORH,5/8/2016,6,49,8,220
KORH,5/8/2016,7,48,14,230
KORH,5/8/2016,8,49,14,220
KORH,5/8/2016,9,51,16,210
KORH,5/8/2016,10,50,18,220
KORH,5/8/2016,11,50,13,220
KORH,5/8/2016,12,50,18,230
KORH,5/8/2016,13,50,14,230
